,driverId,driverRef,code,nationality
0,1,hamilton,HAM,British
1,2,heidfeld,HEI,German
2,3,rosberg,ROS,German
3,4,alonso,ALO,Spanish
4,5,kovalainen,KOV,Finnish
5,6,nakajima,NAK,Japanese
6,7,bourdais,BOU,French
7,8,raikkonen,RAI,Finnish
8,9,kubica,KUB,Polish
9,10,glock,GLO,German
10,11,sato,SAT,Japanese
11,12,piquet_jr,PIQ,Brazilian
12,13,massa,MAS,Brazilian
13,14,coulthard,COU,British
14,15,trulli,TRU,Italian
15,16,sutil,SUT,German
16,17,webber,WEB,Australian
17,18,button,BUT,British
18,19,davidson,DAV,British
19,20,vettel,VET,German
20,21,fisichella,FIS,Italian
21,22,barrichello,BAR,Brazilian
22,23,ralf_schumacher,SCH,German
23,24,liuzzi,LIU,Italian
24,25,wurz,WUR,Austrian
25,26,speed,SPE,American
26,27,albers,ALB,Dutch
27,28,markus_winkelhock,WIN,German
28,29,yamamoto,YAM,Japanese
29,30,michael_schumacher,MSC,German
30,31,montoya,MON,Colombian
31,32,klien,KLI,Austrian
32,33,monteiro,TMO,Portuguese
33,34,ide,IDE,Japanese
34,35,villeneuve,VIL,Canadian
35,36,montagny,FMO,French
36,37,rosa,DLR,Spanish
37,38,doornbos,DOO,Dutch
38,39,karthikeyan,KAR,Indian
39,40,friesacher,FRI,Austrian
40,41,zonta,ZON,Brazilian
41,42,pizzonia,PIZ,Brazilian
42,43,matta,\N,Brazilian
43,44,panis,\N,French
44,45,pantano,\N,Italian
45,46,bruni,\N,Italian
46,47,baumgartner,\N,Hungarian
47,48,gene,\N,Spanish
48,49,frentzen,\N,German
49,50,verstappen,\N,Dutch
50,51,wilson,\N,British
51,52,firman,\N,Irish
52,53,kiesa,\N,Danish
53,54,burti,\N,Brazilian
54,55,alesi,\N,French
55,56,irvine,\N,British
56,57,hakkinen,\N,Finnish
57,58,marques,\N,Brazilian
58,59,bernoldi,\N,Brazilian
59,60,mazzacane,\N,Argentine
60,61,enge,\N,Czech
61,62,yoong,\N,Malaysian
62,63,salo,\N,Finnish
63,64,diniz,\N,Brazilian
64,65,herbert,\N,British
65,66,mcnish,\N,British
66,67,buemi,BUE,Swiss
67,68,takagi,\N,Japanese
68,69,badoer,BAD,Italian
69,70,zanardi,\N,Italian
70,71,damon_hill,\N,British
71,72,sarrazin,\N,French
72,73,rosset,\N,Brazilian
73,74,tuero,\N,Argentine
74,75,nakano,\N,Japanese
75,76,magnussen,MAG,Danish
76,77,berger,\N,Austrian
77,78,larini,\N,Italian
78,79,katayama,\N,Japanese
79,80,sospiri,\N,Italian
80,81,morbidelli,\N,Italian
81,82,fontana,\N,Argentine
82,83,lamy,\N,Portuguese
83,84,brundle,\N,British
84,85,montermini,\N,Italian
85,86,lavaggi,\N,Italian
86,87,blundell,\N,British
87,88,suzuki,\N,Japanese
88,89,inoue,\N,Japanese
89,90,moreno,\N,Brazilian
90,91,wendlinger,\N,Austrian
91,92,gachot,\N,Belgian
92,93,schiattarella,\N,Italian
93,94,martini,\N,Italian
94,95,mansell,\N,British
95,96,boullion,\N,French
96,97,papis,\N,Italian
97,98,deletraz,\N,Swiss
98,99,tarquini,\N,Italian
99,100,comas,\N,French
100,101,brabham,\N,Australian
101,102,senna,\N,Brazilian
102,103,bernard,\N,French
103,104,fittipaldi,\N,Brazilian
104,105,alboreto,\N,Italian
105,106,beretta,\N,Monegasque
106,107,ratzenberger,\N,Austrian
107,108,belmondo,\N,French
108,109,lehto,\N,Finnish
109,110,cesaris,\N,Italian
110,111,gounon,\N,French
111,112,alliot,\N,French
112,113,adams,\N,Belgian
113,114,dalmas,\N,French
114,115,noda,\N,Japanese
115,116,lagorce,\N,French
116,117,prost,\N,French
117,118,warwick,\N,British
118,119,patrese,\N,Italian
119,120,barbazza,\N,Italian
120,121,andretti,\N,American
121,122,capelli,\N,Italian
122,123,boutsen,\N,Belgian
123,124,apicella,\N,Italian
124,125,naspetti,\N,Italian
125,126,toshio_suzuki,\N,Japanese
126,127,gugelmin,\N,Brazilian
127,128,poele,\N,Belgian
128,129,grouillard,\N,French
129,130,chiesa,\N,Swiss
130,131,modena,\N,Italian
131,132,amati,\N,Italian
132,133,caffi,\N,Italian
133,134,bertaggia,\N,Italian
134,135,mccarthy,\N,British
135,136,lammers,\N,Dutch
136,137,piquet,\N,Brazilian
137,138,satoru_nakajima,\N,Japanese
138,139,pirro,\N,Italian
139,140,johansson,\N,Swedish
140,141,bailey,\N,British
141,142,chaves,\N,Portuguese
142,143,bartels,\N,German
143,144,hattori,\N,Japanese
144,145,nannini,\N,Italian
145,146,schneider,\N,German
146,147,barilla,\N,Italian
147,148,foitek,\N,Swiss
148,149,langes,\N,Italian
149,150,gary_brabham,\N,Australian
150,151,donnelly,\N,British
151,152,giacomelli,\N,Italian
152,153,alguersuari,ALG,Spanish
153,154,grosjean,GRO,French
154,155,kobayashi,KOB,Japanese
155,156,palmer,\N,British
156,157,danner,\N,German
157,158,cheever,\N,American
158,159,sala,\N,Spanish
159,160,ghinzani,\N,Italian
160,161,weidler,\N,German
161,162,raphanel,\N,French
162,163,arnoux,\N,French
163,164,joachim_winkelhock,\N,German
164,165,larrauri,\N,Argentine
165,166,streiff,\N,French
166,167,campos,\N,Spanish
167,168,schlesser,\N,French
168,169,fabre,\N,French
169,170,fabi,\N,Italian
170,171,forini,\N,Swiss
171,172,laffite,\N,French
172,173,angelis,\N,Italian
173,174,dumfries,\N,British
174,175,tambay,\N,French
175,176,surer,\N,Swiss
176,177,keke_rosberg,\N,Finnish
177,178,jones,\N,Australian
178,179,rothengatter,\N,Dutch
179,180,berg,\N,Canadian
180,181,manfred_winkelhock,\N,German
181,182,lauda,\N,Austrian
182,183,hesnault,\N,French
183,184,baldi,\N,Italian
184,185,bellof,\N,German
185,186,acheson,\N,British
186,187,watson,\N,British
187,188,cecotto,\N,Venezuelan
188,189,gartner,\N,Austrian
189,190,corrado_fabi,\N,Italian
190,191,thackwell,\N,New Zealander
191,192,serra,\N,Brazilian
192,193,sullivan,\N,American
193,194,salazar,\N,Chilean
194,195,guerrero,\N,Colombian
195,196,boesel,\N,Brazilian
196,197,jarier,\N,French
197,198,villeneuve_sr,\N,Canadian
198,199,reutemann,\N,Argentine
199,200,mass,\N,German
200,201,borgudd,\N,Swedish
201,202,pironi,\N,French
202,203,gilles_villeneuve,\N,Canadian
203,204,paletti,\N,Italian
204,205,henton,\N,British
205,206,daly,\N,Irish
206,207,mario_andretti,\N,American
207,208,villota,\N,Spanish
208,209,lees,\N,British
209,210,byrne,\N,Irish
210,211,keegan,\N,British
211,212,rebaque,\N,Mexican
212,213,gabbiani,\N,Italian
213,214,cogan,\N,American
214,215,guerra,\N,Argentine
215,216,stohr,\N,Italian
216,217,zunino,\N,Argentine
217,218,londono,\N,Colombian
218,219,jabouille,\N,French
219,220,francia,\N,Italian
220,221,depailler,\N,French
221,222,scheckter,\N,South African
222,223,regazzoni,\N,Swiss
223,224,emerson_fittipaldi,\N,Brazilian
224,225,kennedy,\N,Irish
225,226,south,\N,British
226,227,needell,\N,British
227,228,desire_wilson,\N,South African
228,229,ertl,\N,Austrian
229,230,brambilla,\N,Italian
230,231,hunt,\N,British
231,232,merzario,\N,Italian
232,233,stuck,\N,German
233,234,brancatelli,\N,Italian
234,235,ickx,\N,Belgian
235,236,gaillard,\N,French
236,237,ribeiro,\N,Brazilian
237,238,peterson,\N,Swedish
238,239,lunger,\N,American
239,240,ongais,\N,American
240,241,leoni,\N,Italian
241,242,galica,\N,British
242,243,stommelen,\N,German
243,244,colombo,\N,Italian
244,245,trimmer,\N,British
245,246,binder,\N,Austrian
246,247,bleekemolen,\N,Dutch
247,248,gimax,\N,Italian
248,249,rahal,\N,American
249,250,pace,\N,Brazilian
250,251,ian_scheckter,\N,South African
251,252,pryce,\N,British
252,253,hoffmann,\N,Brazilian
253,254,zorzi,\N,Italian
254,255,nilsson,\N,Swedish
255,256,perkins,\N,Australian
256,257,hayje,\N,Dutch
257,258,neve,\N,Belgian
258,259,purley,\N,British
259,260,andersson,\N,Swedish
260,261,dryver,\N,Belgian
261,262,oliver,\N,British
262,263,kozarowitzky,\N,Finnish
263,264,sutcliffe,\N,British
264,265,edwards,\N,British
265,266,mcguire,\N,Australian
266,267,schuppan,\N,Australian
267,268,heyer,\N,German
268,269,pilette,\N,Belgian
269,270,ashley,\N,British
270,271,kessel,\N,Swiss
271,272,takahashi,\N,Japanese
272,273,hoshino,\N,Japanese
273,274,takahara,\N,Japanese
274,275,lombardi,\N,Italian
275,276,evans,\N,British
276,277,leclere,\N,French
277,278,amon,\N,New Zealander
278,279,zapico,\N,Spanish
279,280,pescarolo,\N,French
280,281,nelleman,\N,Danish
281,282,magee,\N,British
282,283,wilds,\N,British
283,284,pesenti_rossi,\N,Italian
284,285,stuppacher,\N,Austrian
285,286,brown,\N,Australian
286,287,hasemi,\N,Japanese
287,288,donohue,\N,American
288,289,hill,\N,British
289,290,wilson_fittipaldi,\N,Brazilian
