,driverId,constructorId,raceId,positionOrder,points
0,1,1,18,1,10.0
1,2,2,18,2,8.0
2,3,3,18,3,6.0
3,4,4,18,4,5.0
4,5,1,18,5,4.0
5,6,3,18,6,3.0
6,7,5,18,7,2.0
7,8,6,18,8,1.0
8,9,2,18,9,0.0
9,10,7,18,10,0.0
10,11,8,18,11,0.0
11,12,4,18,12,0.0
12,13,6,18,13,0.0
13,14,9,18,14,0.0
14,15,7,18,15,0.0
15,16,10,18,16,0.0
16,17,9,18,17,0.0
17,18,11,18,18,0.0
18,19,8,18,19,0.0
19,20,5,18,20,0.0
20,21,10,18,21,0.0
21,22,11,18,22,0.0
22,8,6,19,1,10.0
23,9,2,19,2,8.0
24,5,1,19,3,6.0
25,15,7,19,4,5.0
26,1,1,19,5,4.0
27,2,2,19,6,3.0
28,17,9,19,7,2.0
29,4,4,19,8,1.0
30,14,9,19,9,0.0
31,18,11,19,10,0.0
32,12,4,19,11,0.0
33,21,10,19,12,0.0
34,22,11,19,13,0.0
35,3,3,19,14,0.0
36,19,8,19,15,0.0
37,11,8,19,16,0.0
38,6,3,19,17,0.0
39,20,5,19,18,0.0
40,13,6,19,19,0.0
41,16,10,19,20,0.0
42,10,7,19,21,0.0
43,7,5,19,22,0.0
44,13,6,20,1,10.0
45,8,6,20,2,8.0
46,9,2,20,3,6.0
47,2,2,20,4,5.0
48,5,1,20,5,4.0
49,15,7,20,6,3.0
50,17,9,20,7,2.0
51,3,3,20,8,1.0
52,10,7,20,9,0.0
53,4,4,20,10,0.0
54,22,11,20,11,0.0
55,21,10,20,12,0.0
56,1,1,20,13,0.0
57,6,3,20,14,0.0
58,7,5,20,15,0.0
59,19,8,20,16,0.0
60,11,8,20,17,0.0
61,14,9,20,18,0.0
62,16,10,20,19,0.0
63,12,4,20,20,0.0
64,18,11,20,21,0.0
65,20,5,20,22,0.0
66,8,6,21,1,10.0
67,13,6,21,2,8.0
68,1,1,21,3,6.0
69,9,2,21,4,5.0
70,17,9,21,5,4.0
71,18,11,21,6,3.0
72,6,3,21,7,2.0
73,15,7,21,8,1.0
74,2,2,21,9,0.0
75,21,10,21,10,0.0
76,10,7,21,11,0.0
77,14,9,21,12,0.0
78,11,8,21,13,0.0
79,3,3,21,14,0.0
80,4,4,21,15,0.0
81,22,11,21,16,0.0
82,5,1,21,17,0.0
83,19,8,21,18,0.0
84,7,5,21,19,0.0
85,12,4,21,20,0.0
86,16,10,21,21,0.0
87,20,5,21,22,0.0
88,13,6,22,1,10.0
89,1,1,22,2,8.0
90,8,6,22,3,6.0
91,9,2,22,4,5.0
92,2,2,22,5,4.0
93,4,4,22,6,3.0
94,17,9,22,7,2.0
95,3,3,22,8,1.0
96,14,9,22,9,0.0
97,15,7,22,10,0.0
98,18,11,22,11,0.0
99,5,1,22,12,0.0
100,10,7,22,13,0.0
101,22,11,22,14,0.0
102,12,4,22,15,0.0
103,16,10,22,16,0.0
104,20,5,22,17,0.0
105,7,5,22,18,0.0
106,6,3,22,19,0.0
107,21,10,22,20,0.0
108,1,1,23,1,10.0
109,9,2,23,2,8.0
110,13,6,23,3,6.0
111,17,9,23,4,5.0
112,20,5,23,5,4.0
113,22,11,23,6,3.0
114,6,3,23,7,2.0
115,5,1,23,8,1.0
116,8,6,23,9,0.0
117,4,4,23,10,0.0
118,18,11,23,11,0.0
119,10,7,23,12,0.0
120,15,7,23,13,0.0
121,2,2,23,14,0.0
122,16,10,23,15,0.0
123,3,3,23,16,0.0
124,12,4,23,17,0.0
125,21,10,23,18,0.0
126,14,9,23,19,0.0
127,7,5,23,20,0.0
128,9,2,24,1,10.0
129,2,2,24,2,8.0
130,14,9,24,3,6.0
131,10,7,24,4,5.0
132,13,6,24,5,4.0
133,15,7,24,6,3.0
134,22,11,24,7,2.0
135,20,5,24,8,1.0
136,5,1,24,9,0.0
137,3,3,24,10,0.0
138,18,11,24,11,0.0
139,17,9,24,12,0.0
140,7,5,24,13,0.0
141,21,10,24,14,0.0
142,6,3,24,15,0.0
143,4,4,24,16,0.0
144,12,4,24,17,0.0
145,8,6,24,18,0.0
146,1,1,24,19,0.0
147,16,10,24,20,0.0
148,13,6,25,1,10.0
149,8,6,25,2,8.0
150,15,7,25,3,6.0
151,5,1,25,4,5.0
152,9,2,25,5,4.0
153,17,9,25,6,3.0
154,12,4,25,7,2.0
155,4,4,25,8,1.0
156,14,9,25,9,0.0
157,1,1,25,10,0.0
158,10,7,25,11,0.0
159,20,5,25,12,0.0
160,2,2,25,13,0.0
161,22,11,25,14,0.0
162,6,3,25,15,0.0
163,3,3,25,16,0.0
164,7,5,25,17,0.0
165,21,10,25,18,0.0
166,16,10,25,19,0.0
167,18,11,25,20,0.0
168,1,1,26,1,10.0
169,2,2,26,2,8.0
